cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
769,(1.000250965 0.0003764490503 0.00065),(1 0 0),0.3869705657,0.0002509653,2,3((1 0.0003764490503 0.00065) (1.001550836 0.0003764490503 0.00065) (1.002850708 0.0003764490503 0.00065)),2(770 771)
1546,(1.000250965 0.001159485564 0.00065),(1 0 0),0.3897376038,0.0002509652999,2,3((1 0.001159485564 0.00065) (1.001550836 0.001159485564 0.00065) (1.002850708 0.001159485564 0.00065)),2(1547 1548)
2323,(1.000250965 0.002005211776 0.00065),(1 0 0),0.3924414299,0.0002509653,2,3((1 0.002005211776 0.00065) (1.001550837 0.002005211776 0.00065) (1.002850708 0.002005211776 0.00065)),2(2324 2325)
3100,(1.000250965 0.002918646607 0.00065),(1 0 0),0.3950831584,0.0002509652999,2,3((1 0.002918646607 0.00065) (1.001550836 0.002918646607 0.00065) (1.002850708 0.002918646607 0.00065)),2(3101 3102)
3877,(1.000250965 0.003905210793 0.00065),(1 0 0),0.3976639087,0.0002509653,2,3((1 0.003905210793 0.00065) (1.001550836 0.003905210793 0.00065) (1.002850708 0.003905210793 0.00065)),2(3878 3879)
4654,(1.000250965 0.00497075905 0.00065),(1 0 0),0.4001848034,0.0002509653,2,3((1 0.00497075905 0.00065) (1.001550836 0.00497075905 0.00065) (1.002850708 0.00497075905 0.00065)),2(4655 4656)
5431,(1.000250965 0.006121614822 0.00065),(1 0 0),0.4026469659,0.0002509653001,2,3((1 0.006121614822 0.00065) (1.001550836 0.006121614822 0.00065) (1.002850708 0.006121614822 0.00065)),2(5432 5433)
6208,(1.000250965 0.007364607807 0.00065),(1 0 0),0.4050515186,0.0002509653,2,3((1 0.007364607807 0.00065) (1.001550836 0.007364607807 0.00065) (1.002850708 0.007364607807 0.00065)),2(6209 6210)
6985,(1.000250965 0.008707114487 0.00065),(1 0 0),0.4073995809,0.0002509652999,2,3((1 0.008707114487 0.00065) (1.001550836 0.008707114487 0.00065) (1.002850708 0.008707114487 0.00065)),2(6986 6987)
6993,(0.00064993565 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.00064993565 0.01015325682 0.00065) (0.00064993565 0.01155827869 0.00065) (0.00064993565 0.01285483607 0.00065)),2(7770 8547)
6994,(0.00194980695 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.00194980695 0.01015325682 0.00065) (0.00194980695 0.01155827869 0.00065) (0.00194980695 0.01285483607 0.00065)),2(7771 8548)
