cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
769,768,(1.000250965 0.000681875 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.000681875 0.00065) (1.001550836 0.000681875 0.00065) (1.002850708 0.000681875 0.00065)),2(770 771)
1546,1545,(1.000250965 0.002045625 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.002045625 0.00065) (1.001550837 0.002045625 0.00065) (1.002850708 0.002045625 0.00065)),2(1547 1548)
2323,2322,(1.000250965 0.003409375 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.003409375 0.00065) (1.001550836 0.003409375 0.00065) (1.002850708 0.003409375 0.00065)),2(2324 2325)
3100,3099,(1.000250965 0.004773125 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.004773125 0.00065) (1.001550836 0.004773125 0.00065) (1.002850708 0.004773125 0.00065)),2(3101 3102)
3877,3876,(1.000250965 0.006136875 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.006136875 0.00065) (1.001550837 0.006136875 0.00065) (1.002850708 0.006136875 0.00065)),2(3878 3879)
4654,4653,(1.000250965 0.007500625 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.007500625 0.00065) (1.001550836 0.007500625 0.00065) (1.002850708 0.007500625 0.00065)),2(4655 4656)
5431,5430,(1.000250965 0.008864375 0.00065),(1 0 0),(0 0 0),0.406732509,1,0.0004578961482,0.0002509653001,2,3((1 0.008864375 0.00065) (1.001550837 0.008864375 0.00065) (1.002850708 0.008864375 0.00065)),2(5432 5433)
5439,4662,(0.00064993565 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.00064993565 0.01 0.00065) (0.00064993565 0.01155827869 0.00065) (0.00064993565 0.01285483607 0.00065)),2(6216 6993)
5440,4663,(0.00194980695 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.00194980695 0.01 0.00065) (0.00194980695 0.01155827869 0.00065) (0.00194980695 0.01285483607 0.00065)),2(6217 6994)
5441,4664,(0.00324967825 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.00324967825 0.01 0.00065) (0.00324967825 0.01155827869 0.00065) (0.00324967825 0.01285483607 0.00065)),2(6218 6995)
5442,4665,(0.004549549549 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759895,0.000228125,2,3((0.004549549549 0.01 0.00065) (0.004549549549 0.01155827869 0.00065) (0.004549549549 0.01285483607 0.00065)),2(6219 6996)
5443,4666,(0.005849420849 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.005849420849 0.01 0.00065) (0.005849420849 0.01155827869 0.00065) (0.005849420849 0.01285483606 0.00065)),2(6220 6997)
5444,4667,(0.007149292149 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.007149292149 0.01 0.00065) (0.007149292149 0.01155827869 0.00065) (0.007149292149 0.01285483606 0.00065)),2(6221 6998)
5445,4668,(0.008449163449 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.008449163449 0.01 0.00065) (0.008449163449 0.01155827869 0.00065) (0.008449163449 0.01285483606 0.00065)),2(6222 6999)
5446,4669,(0.009749034749 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482978,1,0.0004464759896,0.0002281249999,2,3((0.009749034749 0.01 0.00065) (0.009749034749 0.01155827869 0.00065) (0.009749034749 0.01285483607 0.00065)),2(6223 7000)
