cellI,x,y,z,S,epsilon,k,nut
0,0.00064993565,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
1,0.00194980695,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
2,0.00324967825,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
3,0.004549549549,0,0.00065,1.689832689e-06,28.13325173,1e-15,3.199061412e-33
4,0.005849420849,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
5,0.007149292149,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
6,0.008449163449,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
7,0.00974903475,0,0.00065,1.689832691e-06,28.13325173,1e-15,3.199061412e-33
8,0.01104890605,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
9,0.01234877735,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
10,0.01364864865,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
11,0.01494851995,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
12,0.01624839125,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
13,0.01754826255,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
14,0.01884813385,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
15,0.02014800515,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
16,0.02144787645,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
17,0.02274774775,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
18,0.02404761905,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
19,0.02534749035,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
20,0.02664736165,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
21,0.02794723295,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
22,0.02924710425,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
23,0.03054697555,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
24,0.03184684685,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
25,0.03314671815,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
26,0.03444658945,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
27,0.03574646075,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
28,0.03704633205,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
29,0.03834620335,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
30,0.03964607465,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
31,0.04094594595,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
32,0.04224581725,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
33,0.04354568855,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
34,0.04484555985,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
35,0.04614543115,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
36,0.04744530245,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
37,0.04874517375,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
38,0.05004504504,0,0.00065,1.689832677e-06,28.13325173,1e-15,3.199061412e-33
39,0.05134491634,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
40,0.05264478764,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
41,0.05394465894,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
42,0.05524453024,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
43,0.05654440154,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
44,0.05784427284,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
45,0.05914414414,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
46,0.06044401544,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
47,0.06174388674,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
48,0.06304375804,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
49,0.06434362934,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
50,0.06564350064,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
51,0.06694337194,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
52,0.06824324324,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
53,0.06954311454,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
54,0.07084298584,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
55,0.07214285714,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
