cellI,x,y,z,S,Ux,Uy,Uz
52836,0.00064993565,0.09,0.00065,1.68983269e-06,0,0,0
52837,0.00194980695,0.09,0.00065,1.68983269e-06,0,0,0
52838,0.00324967825,0.09,0.00065,1.68983269e-06,0,0,0
52839,0.004549549549,0.09,0.00065,1.689832689e-06,0,0,0
52840,0.005849420849,0.09,0.00065,1.68983269e-06,0,0,0
52841,0.007149292149,0.09,0.00065,1.68983269e-06,0,0,0
52842,0.008449163449,0.09,0.00065,1.68983269e-06,0,0,0
52843,0.00974903475,0.09,0.00065,1.689832691e-06,0,0,0
52844,0.01104890605,0.09,0.00065,1.68983269e-06,0,0,0
52845,0.01234877735,0.09,0.00065,1.68983269e-06,0,0,0
52846,0.01364864865,0.09,0.00065,1.68983269e-06,0,0,0
52847,0.01494851995,0.09,0.00065,1.68983269e-06,0,0,0
52848,0.01624839125,0.09,0.00065,1.68983269e-06,0,0,0
52849,0.01754826255,0.09,0.00065,1.68983269e-06,0,0,0
52850,0.01884813385,0.09,0.00065,1.68983269e-06,0,0,0
52851,0.02014800515,0.09,0.00065,1.68983269e-06,0,0,0
52852,0.02144787645,0.09,0.00065,1.68983269e-06,0,0,0
52853,0.02274774775,0.09,0.00065,1.68983269e-06,0,0,0
52854,0.02404761905,0.09,0.00065,1.68983269e-06,0,0,0
52855,0.02534749035,0.09,0.00065,1.68983269e-06,0,0,0
52856,0.02664736165,0.09,0.00065,1.68983269e-06,0,0,0
52857,0.02794723295,0.09,0.00065,1.68983269e-06,0,0,0
52858,0.02924710425,0.09,0.00065,1.68983269e-06,0,0,0
52859,0.03054697555,0.09,0.00065,1.68983269e-06,0,0,0
52860,0.03184684685,0.09,0.00065,1.68983269e-06,0,0,0
52861,0.03314671815,0.09,0.00065,1.68983269e-06,0,0,0
52862,0.03444658945,0.09,0.00065,1.68983269e-06,0,0,0
52863,0.03574646075,0.09,0.00065,1.68983269e-06,0,0,0
52864,0.03704633205,0.09,0.00065,1.68983269e-06,0,0,0
52865,0.03834620335,0.09,0.00065,1.68983269e-06,0,0,0
52866,0.03964607465,0.09,0.00065,1.68983269e-06,0,0,0
52867,0.04094594595,0.09,0.00065,1.68983269e-06,0,0,0
52868,0.04224581725,0.09,0.00065,1.68983269e-06,0,0,0
52869,0.04354568855,0.09,0.00065,1.68983269e-06,0,0,0
52870,0.04484555985,0.09,0.00065,1.68983269e-06,0,0,0
52871,0.04614543115,0.09,0.00065,1.68983269e-06,0,0,0
52872,0.04744530245,0.09,0.00065,1.68983269e-06,0,0,0
52873,0.04874517375,0.09,0.00065,1.68983269e-06,0,0,0
52874,0.05004504504,0.09,0.00065,1.689832677e-06,0,0,0
52875,0.05134491634,0.09,0.00065,1.68983269e-06,0,0,0
52876,0.05264478764,0.09,0.00065,1.68983269e-06,0,0,0
52877,0.05394465894,0.09,0.00065,1.68983269e-06,0,0,0
52878,0.05524453024,0.09,0.00065,1.68983269e-06,0,0,0
52879,0.05654440154,0.09,0.00065,1.68983269e-06,0,0,0
52880,0.05784427284,0.09,0.00065,1.68983269e-06,0,0,0
52881,0.05914414414,0.09,0.00065,1.68983269e-06,0,0,0
52882,0.06044401544,0.09,0.00065,1.68983269e-06,0,0,0
52883,0.06174388674,0.09,0.00065,1.68983269e-06,0,0,0
52884,0.06304375804,0.09,0.00065,1.68983269e-06,0,0,0
52885,0.06434362934,0.09,0.00065,1.68983269e-06,0,0,0
52886,0.06564350064,0.09,0.00065,1.68983269e-06,0,0,0
52887,0.06694337194,0.09,0.00065,1.68983269e-06,0,0,0
52888,0.06824324324,0.09,0.00065,1.68983269e-06,0,0,0
52889,0.06954311454,0.09,0.00065,1.68983269e-06,0,0,0
52890,0.07084298584,0.09,0.00065,1.68983269e-06,0,0,0
52891,0.07214285714,0.09,0.00065,1.68983269e-06,0,0,0
52892,0.07344272844,0.09,0.00065,1.68983269e-06,0,0,0
52893,0.07474259974,0.09,0.00065,1.68983269e-06,0,0,0
52894,0.07604247104,0.09,0.00065,1.68983269e-06,0,0,0
52895,0.07734234234,0.09,0.00065,1.68983269e-06,0,0,0
52896,0.07864221364,0.09,0.00065,1.68983269e-06,0,0,0
52897,0.07994208494,0.09,0.00065,1.68983269e-06,0,0,0
52898,0.08124195624,0.09,0.00065,1.68983269e-06,0,0,0
52899,0.08254182754,0.09,0.00065,1.68983269e-06,0,0,0
52900,0.08384169884,0.09,0.00065,1.68983269e-06,0,0,0
52901,0.08514157014,0.09,0.00065,1.68983269e-06,0,0,0
52902,0.08644144144,0.09,0.00065,1.68983269e-06,0,0,0
52903,0.08774131274,0.09,0.00065,1.68983269e-06,0,0,0
52904,0.08904118404,0.09,0.00065,1.68983269e-06,0,0,0
52905,0.09034105534,0.09,0.00065,1.68983269e-06,0,0,0
52906,0.09164092664,0.09,0.00065,1.68983269e-06,0,0,0
52907,0.09294079794,0.09,0.00065,1.68983269e-06,0,0,0
52908,0.09424066924,0.09,0.00065,1.68983269e-06,0,0,0
52909,0.09554054054,0.09,0.00065,1.68983269e-06,0,0,0
52910,0.09684041184,0.09,0.00065,1.68983269e-06,0,0,0
52911,0.09814028314,0.09,0.00065,1.68983269e-06,0,0,0
52912,0.09944015444,0.09,0.00065,1.689832703e-06,0,0,0
52913,0.1007400257,0.09,0.00065,1.68983269e-06,0,0,0
52914,0.102039897,0.09,0.00065,1.68983269e-06,0,0,0
52915,0.1033397683,0.09,0.00065,1.68983269e-06,0,0,0
52916,0.1046396397,0.09,0.00065,1.68983269e-06,0,0,0
52917,0.1059395109,0.09,0.00065,1.68983269e-06,0,0,0
52918,0.1072393822,0.09,0.00065,1.68983269e-06,0,0,0
52919,0.1085392535,0.09,0.00065,1.68983269e-06,0,0,0
52920,0.1098391248,0.09,0.00065,1.68983269e-06,0,0,0
52921,0.1111389961,0.09,0.00065,1.68983269e-06,0,0,0
52922,0.1124388675,0.09,0.00065,1.68983269e-06,0,0,0
52923,0.1137387387,0.09,0.00065,1.68983269e-06,0,0,0
52924,0.11503861,0.09,0.00065,1.68983269e-06,0,0,0
52925,0.1163384814,0.09,0.00065,1.68983269e-06,0,0,0
52926,0.1176383526,0.09,0.00065,1.68983269e-06,0,0,0
52927,0.118938224,0.09,0.00065,1.68983269e-06,0,0,0
52928,0.1202380952,0.09,0.00065,1.68983269e-06,0,0,0
52929,0.1215379666,0.09,0.00065,1.68983269e-06,0,0,0
52930,0.1228378378,0.09,0.00065,1.68983269e-06,0,0,0
52931,0.1241377092,0.09,0.00065,1.68983269e-06,0,0,0
52932,0.1254375805,0.09,0.00065,1.68983269e-06,0,0,0
52933,0.1267374518,0.09,0.00065,1.68983269e-06,0,0,0
52934,0.1280373231,0.09,0.00065,1.68983269e-06,0,0,0
52935,0.1293371943,0.09,0.00065,1.68983269e-06,0,0,0
52936,0.1306370656,0.09,0.00065,1.68983269e-06,0,0,0
52937,0.1319369369,0.09,0.00065,1.68983269e-06,0,0,0
52938,0.1332368083,0.09,0.00065,1.68983269e-06,0,0,0
52939,0.1345366796,0.09,0.00065,1.68983269e-06,0,0,0
52940,0.1358365509,0.09,0.00065,1.68983269e-06,0,0,0
52941,0.1371364221,0.09,0.00065,1.68983269e-06,0,0,0
52942,0.1384362934,0.09,0.00065,1.68983269e-06,0,0,0
52943,0.1397361647,0.09,0.00065,1.68983269e-06,0,0,0
52944,0.141036036,0.09,0.00065,1.68983269e-06,0,0,0
52945,0.1423359074,0.09,0.00065,1.68983269e-06,0,0,0
52946,0.1436357787,0.09,0.00065,1.68983269e-06,0,0,0
52947,0.1449356499,0.09,0.00065,1.68983269e-06,0,0,0
52948,0.1462355213,0.09,0.00065,1.68983269e-06,0,0,0
52949,0.1475353925,0.09,0.00065,1.68983269e-06,0,0,0
52950,0.1488352638,0.09,0.00065,1.68983269e-06,0,0,0
52951,0.1501351351,0.09,0.00065,1.68983269e-06,0,0,0
52952,0.1514350065,0.09,0.00065,1.68983269e-06,0,0,0
52953,0.1527348777,0.09,0.00065,1.68983269e-06,0,0,0
52954,0.154034749,0.09,0.00065,1.68983269e-06,0,0,0
52955,0.1553346203,0.09,0.00065,1.68983269e-06,0,0,0
52956,0.1566344916,0.09,0.00065,1.68983269e-06,0,0,0
52957,0.157934363,0.09,0.00065,1.68983269e-06,0,0,0
52958,0.1592342343,0.09,0.00065,1.68983269e-06,0,0,0
52959,0.1605341055,0.09,0.00065,1.68983269e-06,0,0,0
52960,0.1618339768,0.09,0.00065,1.68983269e-06,0,0,0
52961,0.1631338481,0.09,0.00065,1.68983269e-06,0,0,0
52962,0.1644337195,0.09,0.00065,1.68983269e-06,0,0,0
52963,0.1657335907,0.09,0.00065,1.68983269e-06,0,0,0
52964,0.167033462,0.09,0.00065,1.68983269e-06,0,0,0
52965,0.1683333334,0.09,0.00065,1.68983269e-06,0,0,0
52966,0.1696332046,0.09,0.00065,1.68983269e-06,0,0,0
52967,0.1709330759,0.09,0.00065,1.68983269e-06,0,0,0
52968,0.1722329473,0.09,0.00065,1.68983269e-06,0,0,0
52969,0.1735328186,0.09,0.00065,1.68983269e-06,0,0,0
52970,0.1748326899,0.09,0.00065,1.68983269e-06,0,0,0
52971,0.1761325612,0.09,0.00065,1.68983269e-06,0,0,0
52972,0.1774324324,0.09,0.00065,1.68983269e-06,0,0,0
52973,0.1787323037,0.09,0.00065,1.68983269e-06,0,0,0
52974,0.1800321751,0.09,0.00065,1.68983269e-06,0,0,0
52975,0.1813320463,0.09,0.00065,1.68983269e-06,0,0,0
52976,0.1826319176,0.09,0.00065,1.68983269e-06,0,0,0
52977,0.1839317889,0.09,0.00065,1.68983269e-06,0,0,0
52978,0.1852316602,0.09,0.00065,1.68983269e-06,0,0,0
52979,0.1865315315,0.09,0.00065,1.68983269e-06,0,0,0
52980,0.1878314028,0.09,0.00065,1.68983269e-06,0,0,0
52981,0.1891312741,0.09,0.00065,1.68983269e-06,0,0,0
52982,0.1904311454,0.09,0.00065,1.68983269e-06,0,0,0
52983,0.1917310168,0.09,0.00065,1.68983269e-06,0,0,0
52984,0.193030888,0.09,0.00065,1.68983269e-06,0,0,0
52985,0.1943307593,0.09,0.00065,1.68983269e-06,0,0,0
52986,0.1956306307,0.09,0.00065,1.68983269e-06,0,0,0
52987,0.1969305019,0.09,0.00065,1.68983269e-06,0,0,0
52988,0.1982303732,0.09,0.00065,1.68983269e-06,0,0,0
52989,0.1995302446,0.09,0.00065,1.68983269e-06,0,0,0
52990,0.2008301158,0.09,0.00065,1.68983269e-06,0,0,0
52991,0.2021299872,0.09,0.00065,1.68983269e-06,0,0,0
52992,0.2034298584,0.09,0.00065,1.68983269e-06,0,0,0
52993,0.2047297297,0.09,0.00065,1.68983269e-06,0,0,0
52994,0.206029601,0.09,0.00065,1.68983269e-06,0,0,0
52995,0.2073294723,0.09,0.00065,1.68983269e-06,0,0,0
52996,0.2086293436,0.09,0.00065,1.68983269e-06,0,0,0
52997,0.2099292149,0.09,0.00065,1.68983269e-06,0,0,0
52998,0.2112290862,0.09,0.00065,1.68983269e-06,0,0,0
52999,0.2125289576,0.09,0.00065,1.68983269e-06,0,0,0
53000,0.2138288288,0.09,0.00065,1.68983269e-06,0,0,0
53001,0.2151287002,0.09,0.00065,1.68983269e-06,0,0,0
53002,0.2164285714,0.09,0.00065,1.68983269e-06,0,0,0
53003,0.2177284428,0.09,0.00065,1.68983269e-06,0,0,0
53004,0.2190283141,0.09,0.00065,1.68983269e-06,0,0,0
53005,0.2203281853,0.09,0.00065,1.68983269e-06,0,0,0
53006,0.2216280567,0.09,0.00065,1.68983269e-06,0,0,0
53007,0.2229279279,0.09,0.00065,1.68983269e-06,0,0,0
53008,0.2242277992,0.09,0.00065,1.68983269e-06,0,0,0
53009,0.2255276706,0.09,0.00065,1.68983269e-06,0,0,0
53010,0.2268275418,0.09,0.00065,1.68983269e-06,0,0,0
53011,0.2281274132,0.09,0.00065,1.68983269e-06,0,0,0
53012,0.2294272844,0.09,0.00065,1.68983269e-06,0,0,0
53013,0.2307271558,0.09,0.00065,1.68983269e-06,0,0,0
53014,0.232027027,0.09,0.00065,1.68983269e-06,0,0,0
53015,0.2333268984,0.09,0.00065,1.68983269e-06,0,0,0
53016,0.2346267697,0.09,0.00065,1.68983269e-06,0,0,0
53017,0.2359266409,0.09,0.00065,1.68983269e-06,0,0,0
53018,0.2372265122,0.09,0.00065,1.68983269e-06,0,0,0
53019,0.2385263835,0.09,0.00065,1.68983269e-06,0,0,0
53020,0.2398262548,0.09,0.00065,1.68983269e-06,0,0,0
53021,0.2411261262,0.09,0.00065,1.68983269e-06,0,0,0
53022,0.2424259974,0.09,0.00065,1.68983269e-06,0,0,0
53023,0.2437258687,0.09,0.00065,1.68983269e-06,0,0,0
53024,0.24502574,0.09,0.00065,1.68983269e-06,0,0,0
53025,0.2463256114,0.09,0.00065,1.68983269e-06,0,0,0
53026,0.2476254827,0.09,0.00065,1.68983269e-06,0,0,0
53027,0.2489253539,0.09,0.00065,1.68983269e-06,0,0,0
53028,0.2502252253,0.09,0.00065,1.68983269e-06,0,0,0
53029,0.2515250965,0.09,0.00065,1.68983269e-06,0,0,0
53030,0.2528249678,0.09,0.00065,1.68983269e-06,0,0,0
53031,0.2541248392,0.09,0.00065,1.68983269e-06,0,0,0
53032,0.2554247104,0.09,0.00065,1.68983269e-06,0,0,0
53033,0.2567245818,0.09,0.00065,1.68983269e-06,0,0,0
