cellI,x,y,z,S,epsilon,k,nut
41054,1.5,0.01070175438,0.0007,1.964912278e-06,0.9518890221,0.07141560413,0.0004822168925
41411,1.5,0.01210526315,0.0007,1.964912278e-06,0.9066661323,0.07051589798,0.0004935932337
41768,1.5,0.01350877193,0.0007,1.964912292e-06,0.858233091,0.06868257478,0.0004946868765
42125,1.5,0.0149122807,0.0007,1.964912278e-06,0.8023612741,0.06587194297,0.0004867136177
42482,1.5,0.01631578948,0.0007,1.964912278e-06,0.7365269144,0.06206442104,0.0004706946964
42839,1.5,0.01771929825,0.0007,1.964912278e-06,0.6596915573,0.05727531064,0.0004475447738
43196,1.5,0.01912280701,0.0007,1.964912278e-06,0.5722976522,0.05156717795,0.0004181838679
43553,1.5,0.02052631579,0.0007,1.964912292e-06,0.4764253569,0.04506748727,0.0003836845671
43910,1.5,0.02192982456,0.0007,1.964912278e-06,0.3760258245,0.03799321066,0.0003454910717
44267,1.5,0.02333333334,0.0007,1.964912278e-06,0.2771049329,0.0306833954,0.0003057771904
44624,1.5,0.02473684211,0.0007,1.964912278e-06,0.1875049023,0.02363054453,0.0002680262571
44981,1.5,0.02614035087,0.0007,1.964912278e-06,0.1154614569,0.01746463005,0.000237752043
45338,1.5,0.02754385965,0.0007,1.964912292e-06,0.06603291084,0.01277487464,0.0002224310243
45695,1.5,0.02894736842,0.0007,1.964912278e-06,0.03742539417,0.00974579056,0.0002284074548
46052,1.5,0.0303508772,0.0007,1.964912278e-06,0.02272657456,0.008031393327,0.0002554408309
46409,1.5,0.03175438596,0.0007,1.964912278e-06,0.01538165042,0.007113122551,0.0002960466526
46766,1.5,0.03315789474,0.0007,1.964912278e-06,0.01154720067,0.006615020209,0.0003410579261
47123,1.5,0.0345614035,0.0007,1.964912278e-06,0.00939506513,0.006332444426,0.0003841364234
47480,1.5,0.03596491228,0.0007,1.964912292e-06,0.008096340646,0.00616346739,0.0004222833344
47837,1.5,0.03736842106,0.0007,1.964912278e-06,0.007262982494,0.00605690048,0.0004545989077
48194,1.5,0.03877192983,0.0007,1.964912278e-06,0.006702291691,0.005985876513,0.0004811435753
48551,1.5,0.04017543859,0.0007,1.964912278e-06,0.006312634558,0.00593558267,0.0005022946786
48908,1.5,0.04157894736,0.0007,1.964912278e-06,0.00603761767,0.005897513359,0.0005184594182
49265,1.5,0.04298245614,0.0007,1.964912292e-06,0.00584482212,0.005866659641,0.0005299720877
49622,1.5,0.04438596492,0.0007,1.964912278e-06,0.00571539129,0.005840065854,0.0005370714043
49979,1.5,0.04578947368,0.0007,1.964912278e-06,0.005638725118,0.005816058125,0.0005399071291
50336,1.5,0.04719298246,0.0007,1.964912278e-06,0.00560976221,0.005793833329,0.0005385549877
50693,1.5,0.04859649123,0.0007,1.964912278e-06,0.00562767409,0.005773241718,0.000533031719
51050,1.5,0.05,0.0007,1.964912292e-06,0.005695495537,0.005754718747,0.0005233101998
51407,1.5,0.05140350877,0.0007,1.964912278e-06,0.005820502356,0.005739326471,0.0005093354439
51764,1.5,0.05280701754,0.0007,1.964912278e-06,0.006015428587,0.005728919236,0.0004910450456
52121,1.5,0.05421052632,0.0007,1.964912278e-06,0.006300905715,0.005726487415,0.0004683992054
52478,1.5,0.05561403508,0.0007,1.964912278e-06,0.006709957183,0.005736787785,0.0004414284603
52835,1.5,0.05701754386,0.0007,1.964912292e-06,0.007296276958,0.005767481448,0.000410311426
53192,1.5,0.05842105263,0.0007,1.964912278e-06,0.008149829155,0.00583120963,0.0003755011865
53549,1.5,0.0598245614,0.0007,1.964912278e-06,0.009427073799,0.005949428855,0.0003379217561
53906,1.5,0.06122807018,0.0007,1.964912278e-06,0.01141051339,0.006159459218,0.0002992419613
54263,1.5,0.06263157895,0.0007,1.964912278e-06,0.01462410773,0.006526736005,0.0002621592736
54620,1.5,0.06403508772,0.0007,1.964912292e-06,0.02003650244,0.007162481678,0.0002304345759
54977,1.5,0.0654385965,0.0007,1.964912278e-06,0.02932729483,0.008236488619,0.0002081875285
55334,1.5,0.06684210527,0.0007,1.964912278e-06,0.04496827093,0.009952386787,0.0001982397825
55691,1.5,0.06824561403,0.0007,1.964912278e-06,0.06963404978,0.01245589858,0.0002005261349
56048,1.5,0.0696491228,0.0007,1.964912278e-06,0.104984955,0.01573415904,0.0002122279185
56405,1.5,0.07105263157,0.0007,1.964912278e-06,0.1509291669,0.01961571194,0.0002294444119
56762,1.5,0.07245614035,0.0007,1.964912292e-06,0.2060414946,0.02385836242,0.0002486389028
57119,1.5,0.07385964912,0.0007,1.964912278e-06,0.2684837495,0.02822755907,0.0002670983191
57476,1.5,0.07526315789,0.0007,1.964912278e-06,0.3367405454,0.03252956638,0.0002828157859
57833,1.5,0.07666666666,0.0007,1.964912278e-06,0.4101010024,0.03661651219,0.0002942426527
58190,1.5,0.07807017543,0.0007,1.964912278e-06,0.4890864432,0.04038213822,0.0003000789326
58547,1.5,0.07947368421,0.0007,1.964912292e-06,0.5760731555,0.04375766872,0.0002991391281
58904,1.5,0.08087719298,0.0007,1.964912278e-06,0.6765959916,0.0467129965,0.0002902609034
59261,1.5,0.08228070175,0.0007,1.964912278e-06,0.8017997005,0.04925257217,0.0002722917304
59618,1.5,0.08368421052,0.0007,1.964912278e-06,0.9744866595,0.05141908937,0.000244182971
59975,1.5,0.08508771929,0.0007,1.964912278e-06,1.246108313,0.05331312145,0.0002052839227
60332,1.5,0.08649122807,0.0007,1.964912292e-06,1.754441115,0.05514819761,0.0001560150013
60689,1.5,0.08789473685,0.0007,1.964912278e-06,2.98684183,0.05737997685,9.920898852e-05
61046,1.5,0.08929824561,0.0007,1.964912278e-06,7.465959882,0.05549433193,3.71239443e-05
61403,1.5,0.0007142857145,0.0007,2.000000001e-06,7.112880481,0.05436834943,3.740152369e-05
61760,1.5,0.002142857143,0.0007,1.999999999e-06,2.777257112,0.06086399843,0.0001200459137
62117,1.5,0.003571428571,0.0007,2.000000001e-06,1.736533465,0.06404675845,0.0002125953007
62474,1.5,0.005,0.0007,1.999999999e-06,1.34938324,0.06684790547,0.0002980456626
62831,1.5,0.006428571429,0.0007,2.000000001e-06,1.166572615,0.06907963311,0.0003681550624
63188,1.5,0.007857142857,0.0007,1.999999999e-06,1.065667476,0.07063822295,0.0004214056248
63545,1.5,0.009285714285,0.0007,2.000000001e-06,1.001031593,0.07144279083,0.0004588931216
