cellI,x,y,z,S,epsilon,k,nut
39984,0.000700280112,0.09,0.0007,1.960784314e-06,0.4321648991,0.01185290058,1.459663776e-06
39985,0.002100840336,0.09,0.0007,1.960784314e-06,0.488119137,0.01274384502,1.543857576e-06
39986,0.00350140056,0.09,0.0007,1.960784314e-06,0.5494087034,0.01367249463,1.628531395e-06
39987,0.004901960784,0.09,0.0007,1.960784314e-06,0.6164751806,0.01464070324,1.713803855e-06
39988,0.006302521008,0.09,0.0007,1.960784314e-06,0.6897379442,0.01564959662,1.799717371e-06
39989,0.007703081232,0.09,0.0007,1.960784315e-06,0.7696061641,0.01669987146,1.886274319e-06
39990,0.009103641457,0.09,0.0007,1.960784314e-06,0.8564795531,0.01779188819,1.973450454e-06
39991,0.01050420168,0.09,0.0007,1.960784309e-06,0.9507474284,0.01892572609,2.061203123e-06
39992,0.01190476191,0.09,0.0007,1.960784322e-06,1.052786512,0.0201012148,2.149476318e-06
39993,0.01330532213,0.09,0.0007,1.960784308e-06,1.162957571,0.02131794895,2.238203677e-06
39994,0.01470588235,0.09,0.0007,1.960784308e-06,1.28160138,0.02257529513,2.327310443e-06
39995,0.01610644257,0.09,0.0007,1.960784322e-06,1.409034398,0.02387239652,2.416714944e-06
39996,0.0175070028,0.09,0.0007,1.960784308e-06,1.545544324,0.0252081776,2.506329817e-06
39997,0.01890756302,0.09,0.0007,1.960784322e-06,1.691385669,0.02658134929,2.596063063e-06
39998,0.02030812325,0.09,0.0007,1.960784308e-06,1.846775364,0.02799041501,2.685818956e-06
39999,0.02170868347,0.09,0.0007,1.960784322e-06,2.01188857,0.02943367804,2.775498889e-06
40000,0.0231092437,0.09,0.0007,1.960784308e-06,2.186854745,0.03090925034,2.865002148e-06
40001,0.02450980392,0.09,0.0007,1.960784308e-06,2.371754082,0.03241506301,2.954226649e-06
40002,0.02591036414,0.09,0.0007,1.960784322e-06,2.566614377,0.03394887824,3.043069634e-06
40003,0.02731092437,0.09,0.0007,1.960784308e-06,2.771408399,0.03550830264,3.131428323e-06
40004,0.02871148459,0.09,0.0007,1.960784322e-06,2.986051855,0.03709080212,3.219200549e-06
40005,0.03011204482,0.09,0.0007,1.960784308e-06,3.210401961,0.03869371774,3.306285343e-06
40006,0.03151260504,0.09,0.0007,1.960784308e-06,3.444256704,0.04031428289,3.392583505e-06
40007,0.03291316527,0.09,0.0007,1.960784322e-06,3.687354813,0.04194964124,3.477998132e-06
40008,0.03431372549,0.09,0.0007,1.960784308e-06,3.939376436,0.04359686537,3.562435111e-06
40009,0.03571428572,0.09,0.0007,1.960784322e-06,4.199944552,0.04525297588,3.64580358e-06
40010,0.03711484594,0.09,0.0007,1.960784308e-06,4.468627052,0.04691496053,3.728016338e-06
40011,0.03851540616,0.09,0.0007,1.960784308e-06,4.744939504,0.04857979345,3.808990221e-06
40012,0.03991596639,0.09,0.0007,1.960784322e-06,5.028348537,0.05024445397,3.888646426e-06
40013,0.04131652661,0.09,0.0007,1.960784308e-06,5.31827579,0.05190594505,3.966910804e-06
40014,0.04271708684,0.09,0.0007,1.960784322e-06,5.614102389,0.05356131109,4.043714097e-06
40015,0.04411764706,0.09,0.0007,1.960784308e-06,5.915173834,0.05520765476,4.118992142e-06
40016,0.04551820728,0.09,0.0007,1.960784308e-06,6.22080526,0.05684215296,4.192686027e-06
40017,0.0469187675,0.09,0.0007,1.960784322e-06,6.530286936,0.05846207148,4.264742202e-06
40018,0.04831932773,0.09,0.0007,1.960784308e-06,6.842889948,0.06006477834,4.335112547e-06
40019,0.04971988796,0.09,0.0007,1.960784322e-06,7.15787198,0.06164775591,4.403754406e-06
40020,0.05112044818,0.09,0.0007,1.960784308e-06,7.474483071,0.06320861139,4.470630574e-06
40021,0.0525210084,0.09,0.0007,1.960784322e-06,7.791971328,0.06474508601,4.535709262e-06
40022,0.05392156863,0.09,0.0007,1.960784308e-06,8.109588447,0.06625506249,4.59896401e-06
40023,0.05532212885,0.09,0.0007,1.960784308e-06,8.426595039,0.06773657129,4.66037359e-06
40024,0.05672268907,0.09,0.0007,1.960784322e-06,8.742265656,0.06918779517,4.719921866e-06
40025,0.0581232493,0.09,0.0007,1.960784308e-06,9.055893475,0.07060707241,4.777597641e-06
40026,0.05952380952,0.09,0.0007,1.960784322e-06,9.366794618,0.07199289876,4.833394474e-06
40027,0.06092436975,0.09,0.0007,1.960784308e-06,9.67431202,0.07334392789,4.887310486e-06
40028,0.06232492997,0.09,0.0007,1.960784308e-06,9.977818886,0.07465897083,4.939348145e-06
40029,0.06372549019,0.09,0.0007,1.960784322e-06,10.27672165,0.07593699415,4.989514036e-06
40030,0.06512605042,0.09,0.0007,1.960784308e-06,10.57046249,0.07717711709,5.03781863e-06
40031,0.06652661065,0.09,0.0007,1.960784322e-06,10.85852136,0.07837860796,5.084276034e-06
40032,0.06792717087,0.09,0.0007,1.960784308e-06,11.14041758,0.07954087957,5.128903749e-06
40033,0.06932773109,0.09,0.0007,1.960784308e-06,11.41571095,0.08066348411,5.171722417e-06
40034,0.07072829131,0.09,0.0007,1.960784322e-06,11.68400252,0.08174610727,5.212755573e-06
40035,0.07212885154,0.09,0.0007,1.960784308e-06,11.9449348,0.08278856196,5.252029391e-06
40036,0.07352941176,0.09,0.0007,1.960784322e-06,12.19819179,0.08379078167,5.28957244e-06
40037,0.07492997199,0.09,0.0007,1.960784308e-06,12.44349847,0.08475281345,5.325415445e-06
40038,0.07633053221,0.09,0.0007,1.960784308e-06,12.68062017,0.0856748107,5.359591053e-06
40039,0.07773109243,0.09,0.0007,1.960784322e-06,12.90936152,0.0865570259,5.392133599e-06
40040,0.07913165266,0.09,0.0007,1.960784308e-06,13.12956521,0.0873998031,5.423078893e-06
40041,0.08053221288,0.09,0.0007,1.960784322e-06,13.34111054,0.08820357063,5.452464005e-06
40042,0.08193277311,0.09,0.0007,1.960784308e-06,13.54391181,0.0889688337,5.480327068e-06
40043,0.08333333333,0.09,0.0007,1.960784322e-06,13.73791655,0.08969616728,5.506707084e-06
40044,0.08473389356,0.09,0.0007,1.960784308e-06,13.92310363,0.09038620901,5.531643745e-06
40045,0.08613445378,0.09,0.0007,1.960784308e-06,14.09948132,0.09103965243,5.555177265e-06
40046,0.08753501401,0.09,0.0007,1.960784322e-06,14.26708527,0.0916572404,5.577348222e-06
40047,0.08893557423,0.09,0.0007,1.960784308e-06,14.42597648,0.09223975877,5.59819741e-06
40048,0.09033613445,0.09,0.0007,1.960784322e-06,14.57623924,0.09278803043,5.617765701e-06
40049,0.09173669468,0.09,0.0007,1.960784308e-06,14.71797911,0.09330290956,5.636093923e-06
40050,0.0931372549,0.09,0.0007,1.960784308e-06,14.8513209,0.09378527631,5.653222742e-06
