cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
36136,36537,(0.1825 -0.0475 0.0025),(-0.05325523562 -0.9985809331 0),(-0.05031648177 -0.9987333236 0),0,0.51489541,0.003804370125,0.0001497897235,2,3((0.1825079771 -0.04735042284 0.0025) (0.1822337238 -0.05249290467 0.0025) (0.181966693 -0.05749995981 0.0025)),2(35736 35336)
36137,36537,(0.1875 -0.0475 0.0025),(-0.05012649368 -0.9987428771 0),(-0.05031648177 -0.9987333236 0),0,0.51489541,0.00367857892,0.0001497897235,2,3((0.1875075084 -0.04735039858 0.0025) (0.1872493675 -0.05249371439 0.0025) (0.1869981057 -0.05749996845 0.0025)),2(35737 35337)
36138,36538,(0.1925 -0.0475 0.0025),(-0.04709387362 -0.998890468 0),(-0.04725555099 -0.9988828324 0),0,0.53907442,0.003557036251,0.0003936226063,2,3((0.1925185372 -0.04710681413 0.0025) (0.1922645306 -0.05249445234 0.0025) (0.1920285393 -0.05749997542 0.0025)),2(35738 35338)
36139,36539,(0.1975 -0.0475 0.0025),(-0.04415263495 -0.9990247969 0),(-0.04429472056 -0.9990185072 0),0,0.56160421,0.003442948039,0.0006224774027,2,3((0.197527484 -0.04687812964 0.0025) (0.1972792368 -0.05249512398 0.0025) (0.1970580435 -0.05749998101 0.0025)),2(35739 35339)
36140,36540,(0.2025 -0.0475 0.0025),(-0.04129839552 -0.9991468573 0),(-0.04142567889 -0.9991415881 0),0,0.58247682,0.003336096843,0.0008367951993,2,3((0.2025345583 -0.04666391871 0.0025) (0.202293508 -0.05249573429 0.0025) (0.202086664 -0.05749998546 0.0025)),2(35740 35340)
36141,36541,(0.2075 -0.0475 0.0025),(-0.03852710297 -0.9992575556 0),(-0.03864238027 -0.9992531043 0),0,0.6017159,0.003236258446,0.001037029575,2,3((0.2075399537 -0.04646374036 0.0025) (0.2073073645 -0.05249628778 0.0025) (0.2071144431 -0.05749998899 0.0025)),2(35741 35341)
36142,36542,(0.2125 -0.0475 0.0025),(-0.03583499678 -0.9993577202 0),(-0.03593875779 -0.9993539942 0),0,0.61935984,0.003143252712,0.001223545493,2,3((0.2125438457 -0.04627724037 0.0025) (0.212320825 -0.0524967886 0.0025) (0.21214142 -0.05749999176 0.0025)),2(35742 35342)
36143,36543,(0.2175 -0.0475 0.0025),(-0.03321858332 -0.9994481106 0),(-0.03331209055 -0.9994449983 0),0,0.63546825,0.003056876942,0.001396752054,2,3((0.2175463981 -0.0461040188 0.0025) (0.2173339071 -0.05249724055 0.0025) (0.2171676309 -0.05749999391 0.0025)),2(35743 35343)
36144,36544,(0.2225 -0.0475 0.0025),(-0.0306746081 -0.9995294235 0),(-0.03075882078 -0.9995268355 0),0,0.65010985,0.002976941016,0.001557033091,2,3((0.2225477614 -0.04594369961 0.0025) (0.222346627 -0.05249764712 0.0025) (0.2221931096 -0.05749999557 0.0025)),2(35744 35344)
36145,36545,(0.2275 -0.0475 0.0025),(-0.0282000351 -0.9996022999 0),(-0.02827574206 -0.9996001613 0),0,0.66335366,0.002903292646,0.00170469646,2,3((0.2275480725 -0.0457959815 0.0025) (0.2273589998 -0.0524980115 0.0025) (0.2272178875 -0.05749999684 0.0025)),2(35745 35345)
36146,36546,(0.2325 -0.0475 0.0025),(-0.0257929445 -0.9996673067 0),(-0.02585990353 -0.9996655768 0),0,0.67527792,0.002835749235,0.00184011036,2,3((0.2325474619 -0.04566050183 0.0025) (0.2323710353 -0.05249833653 0.0025) (0.2322419848 -0.05749999779 0.0025)),2(35746 35346)
36147,36547,(0.2375 -0.0475 0.0025),(-0.02345022004 -0.9997250058 0),(-0.02350857274 -0.9997236353 0),0,0.68596006,0.002774137328,0.001963624466,2,3((0.2375460474 -0.04553691552 0.0025) (0.2373827489 -0.05249862503 0.0025) (0.2372654333 -0.05749999849 0.0025)),2(35747 35347)
36148,36548,(0.2425 -0.0475 0.0025),(-0.02116754237 -0.9997759425 0),(-0.02121919419 -0.9997748476 0),0,0.69547491,0.002718291795,0.002075571593,2,3((0.2425439347 -0.04542489345 0.0025) (0.2423941623 -0.05249887971 0.0025) (0.2422882772 -0.057499999 0.0025)),2(35748 35348)
36149,36549,(0.2475 -0.0475 0.0025),(-0.01894417184 -0.9998205431 0),(-0.01898675303 -0.9998197354 0),0,0.7038837,0.002668114009,0.002176151604,2,3((0.2475412254 -0.04532423892 0.0025) (0.2474052791 -0.05249910272 0.0025) (0.2473105243 -0.05749999936 0.0025)),2(35749 35349)
36150,36550,(0.2525 -0.0475 0.0025),(-0.01677475911 -0.9998592938 0),(-0.01681393699 -0.9998586358 0),0,0.7112457,0.00262349883,0.002265576465,2,3((0.2525380045 -0.04523474232 0.0025) (0.2524161262 -0.05249929647 0.0025) (0.2523322288 -0.0574999996 0.0025)),2(35750 35350)
36151,36551,(0.2575 -0.0475 0.0025),(-0.01466243923 -0.9998925007 0),(-0.01469665537 -0.9998919983 0),0,0.71763339,0.002584235828,0.002344269281,2,3((0.2575343727 -0.04515598273 0.0025) (0.2574266878 -0.0524994625 0.0025) (0.2573533598 -0.05749999977 0.0025)),2(35751 35351)
36152,36552,(0.2625 -0.0475 0.0025),(-0.01260357471 -0.9999205718 0),(-0.01263541364 -0.99992017 0),0,0.72310474,0.002550173149,0.002412535497,2,3((0.2625304066 -0.04508765613 0.0025) (0.2624369821 -0.05249960286 0.0025) (0.2623739542 -0.05749999987 0.0025)),2(35752 35352)
